City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-cartier,50.0334,-66.8654,20.88,85,100,2.37,CA,1675824480
1,kimberley,-28.7323,24.7623,65.64,75,100,7.38,ZA,1675824611
2,klaksvik,62.2266,-6.589,47.32,83,100,56.35,FO,1675824617
3,fortuna,40.5982,-124.1573,51.98,84,75,8.05,US,1675824619
4,komsomolskiy,40.4272,71.7189,30.92,80,99,4.61,UZ,1675824621
5,soyo,-6.1349,12.3689,78.89,83,84,6.44,AO,1675824622
6,ko samui,9.5357,99.9357,84.11,74,40,5.75,TH,1675824625
7,bani walid,31.7566,13.9942,49.19,66,99,13.27,LY,1675824626
8,maunabo,18.0072,-65.8993,76.69,90,17,12.59,PR,1675824627
9,ruteng,-8.6136,120.4721,71.29,78,77,3.51,ID,1675824628
10,ushuaia,-54.8,-68.3,49.66,76,20,12.66,AR,1675824636
11,port elizabeth,-33.918,25.5701,67.32,91,20,6.91,ZA,1675824637
12,lebu,-37.6167,-73.65,58.78,88,0,17.43,CL,1675824460
13,bluff,-46.6,168.3333,54.61,64,49,27.0,NZ,1675824637
14,ucluelet,48.9329,-125.5528,42.6,75,42,16.33,CA,1675824638
15,ancud,-41.8697,-73.8203,56.28,93,2,4.25,CL,1675824517
16,launceston,-41.45,147.1667,75.61,47,40,6.91,AU,1675824638
17,jamestown,42.097,-79.2353,37.04,93,100,12.66,US,1675824593
18,mataura,-46.1927,168.8643,58.08,51,64,11.68,NZ,1675824640
19,hambantota,6.1241,81.1185,79.14,94,20,9.22,LK,1675824640
20,albany,42.6001,-73.9662,35.22,78,97,3.0,US,1675824429
21,sola,-13.8833,167.55,82.13,77,96,14.41,VU,1675824641
22,lerici,44.0759,9.9112,37.53,40,1,1.99,IT,1675824641
23,qaqortoq,60.7167,-46.0333,-12.64,65,4,7.18,GL,1675824642
24,cabo san lucas,22.8909,-109.9124,70.52,64,40,4.61,MX,1675824434
25,bom jesus,-9.0744,-44.3586,72.68,78,87,1.57,BR,1675824642
26,muravlenko,63.7898,74.523,-13.27,99,86,9.71,RU,1675824642
27,koumac,-20.5667,164.2833,79.11,87,100,7.9,NC,1675824643
28,tuatapere,-46.1333,167.6833,56.8,56,58,16.2,NZ,1675824643
29,saint-francois,46.4154,3.9054,21.67,93,1,3.44,FR,1675824644
30,new norfolk,-42.7826,147.0587,62.1,32,5,4.54,AU,1675824644
31,clyde river,70.4692,-68.5914,-30.77,68,0,4.61,CA,1675824644
32,hilo,19.7297,-155.09,77.29,90,100,12.66,US,1675824645
33,castro,-24.7911,-50.0119,61.5,95,71,5.26,BR,1675824645
34,catia la mar,10.6038,-67.0303,80.8,78,75,2.3,VE,1675824646
35,thunder bay,48.4001,-89.3168,15.71,73,20,2.3,CA,1675824522
36,rydultowy,50.0586,18.417,27.01,92,68,1.01,PL,1675824646
37,banjar,-8.19,114.9675,80.37,85,98,2.8,ID,1675824646
38,kanuma,36.55,139.7333,46.22,57,91,3.83,JP,1675824647
39,cayenne,4.9333,-52.3333,77.04,88,20,4.61,GF,1675824430
40,barrow,71.2906,-156.7887,1.42,78,100,5.75,US,1675824647
41,itarema,-2.9248,-39.9167,77.52,82,100,8.3,BR,1675824648
42,malyn,50.7723,29.2383,14.67,96,15,5.12,UA,1675824648
43,hermanus,-34.4187,19.2345,66.79,83,0,11.92,ZA,1675824648
44,jalu,29.0331,21.5482,48.27,59,74,6.46,LY,1675824649
45,lashio,22.9333,97.75,66.92,33,0,1.79,MM,1675824649
46,moerai,-22.4333,-151.3333,79.61,77,51,10.4,PF,1675824649
47,atuona,-9.8,-139.0333,79.16,75,24,16.69,PF,1675824650
48,iqaluit,63.7506,-68.5145,-29.47,68,40,4.61,CA,1675824650
49,rojhan,28.6868,69.9534,60.3,37,10,8.25,PK,1675824650
50,bredasdorp,-34.5322,20.0403,64.85,81,7,6.55,ZA,1675824651
51,saint george,37.1041,-113.5841,46.99,46,0,6.91,US,1675824410
52,joshimath,30.5667,79.5667,43.47,35,0,7.2,IN,1675824651
53,fukue,32.6881,128.8419,57.56,51,40,13.8,JP,1675824652
54,port alfred,-33.5906,26.891,70.18,88,100,7.0,ZA,1675824652
55,puerto ayora,-0.7393,-90.3518,79.56,92,55,7.0,EC,1675824652
56,lakatoro,-16.0999,167.4164,82.42,71,100,2.64,VU,1675824653
57,cape town,-33.9258,18.4232,70.21,74,20,14.0,ZA,1675824461
